sample_id,comparison_group,deepgram_status,elevenlabs_status,deepgram_child_coverage,elevenlabs_child_coverage,deepgram_counselor_coverage,elevenlabs_counselor_coverage,deepgram_speaker_count,elevenlabs_speaker_count
0042,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9226,1.0,0.976,1.0,3,2
0119,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,0.995,0.9935,2,2
0128,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9588,1.0,0.9702,1.0,2,2
0151,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,1.0,1.0,3,2
0159,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9858,1.0,1.0,1.0,2,2
0278,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,1.0,0.6557,1.0,2,2
0296,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9988,1.0,0.9956,1.0,2,2
0384,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,0.8965,1.0,2,2
0447,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9459,1.0,0.9886,0.9897,2,2
0514,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9919,1.0,0.9791,1.0,3,2
0545,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,1.0,1.0,3,2
0585,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9942,1.0,0.9969,1.0,2,2
0588,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9948,1.0,0.9874,0.9871,3,2
0607,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9636,0.9955,0.9633,1.0,2,2
0615,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9885,1.0,0.9181,1.0,2,2
0633,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.993,1.0,0.9913,1.0,3,2
0644,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9832,1.0,1.0,1.0,2,2
0657,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9877,1.0,1.0,1.0,2,2
0741,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9934,1.0,0.9342,1.0,2,2
0767,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,0.9925,0.7603,0.9947,2,2
0857,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,1.0,1.0,3,2
0882,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,1.0,1.0,4,2
0903,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9978,1.0,0.9959,0.9999,2,2
0981,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,1.0,1.0,1.0,0.9949,3,2
1005,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9948,1.0,0.9989,1.0,2,2
1059,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9424,1.0,0.9941,1.0,2,2
1062,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.985,1.0,0.9769,1.0,2,2
1159,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9841,1.0,0.997,1.0,3,2
1166,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9855,1.0,1.0,1.0,2,2
1178,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9834,1.0,0.9893,0.9966,2,2
1225,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9934,1.0,0.9908,0.9955,3,2
1234,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9844,1.0,0.9932,1.0,2,2
1239,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.985,1.0,1.0,1.0,2,2
1295,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9841,0.9923,0.9967,1.0,2,2
1304,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9779,1.0,0.9853,1.0,2,2
1383,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9792,1.0,0.9771,1.0,3,2
1443,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.8945,1.0,0.9858,1.0,2,2
1451,ELEVENLABS_ONLY_OK,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,1.0,0.0,1.0,1,2
1507,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9797,1.0,0.952,1.0,2,2
1583,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9843,1.0,0.9986,0.9775,3,2
1650,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.936,1.0,0.9854,1.0,2,2
1656,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.5446,1.0,0.0,1.0,2,2
1690,ELEVENLABS_ONLY_OK,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,0.987,0.0,1.0,1,2
1710,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9851,1.0,0.9872,1.0,2,2
1726,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,0.9984,0.0,1.0,2,2
1761,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9155,0.9998,0.9498,0.9938,3,2
1850,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9108,1.0,1.0,0.9961,3,2
1936,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9957,1.0,0.979,0.9974,2,2
1951,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.5793,1.0,0.0,1.0,2,2
1963,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9302,1.0,0.9076,1.0,2,2
2029,ELEVENLABS_ONLY_OK,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,1.0,0.7908,1.0,2,2
2106,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9239,0.9884,0.9879,0.9979,2,2
2109,BOTH_OK,ROLE_MAPPING_OK,ROLE_MAPPING_OK,0.9594,1.0,0.9857,1.0,2,2
2114,ELEVENLABS_ONLY_OK,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,0.0,0.9934,0.0,0.9998,1,2
2115,BOTH_FAILED,SINGLE_SPEAKER_COLLAPSE,MIXED_SPEAKER_COLLAPSE,0.0,0.6169,0.0,0.0,1,2
