sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
0119,2,ROLE_MAPPING_OK,1,0,,1.0,0.995,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 118.836, ""purity"": 1.0, ""word_count"": 311}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 112.9541, ""counselor_sec"": 0.597, ""purity"": 0.9947, ""word_count"": 292}]"
2915,2,ROLE_MAPPING_OK,1,0,,0.9867,0.9689,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.953, ""counselor_sec"": 115.9812, ""purity"": 0.9919, ""word_count"": 332}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 70.824, ""counselor_sec"": 3.72, ""purity"": 0.9501, ""word_count"": 200}]"
2730,1,SINGLE_SPEAKER_COLLAPSE,,,0,0.0,0.0,"[{""speaker"": 0, ""role"": ""MIXED"", ""child_sec"": 63.325, ""counselor_sec"": 141.9611, ""purity"": 0.6915, ""word_count"": 550}]"
2652,2,ROLE_MAPPING_OK,1,0,,0.9769,0.9518,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 2.998, ""counselor_sec"": 181.6788, ""purity"": 0.9838, ""word_count"": 487}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 127.0422, ""counselor_sec"": 9.2021, ""purity"": 0.9325, ""word_count"": 359}]"
1234,2,ROLE_MAPPING_OK,1,0,,0.9844,0.9932,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.48, ""counselor_sec"": 168.057, ""purity"": 0.9913, ""word_count"": 453}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 93.575, ""counselor_sec"": 1.154, ""purity"": 0.9878, ""word_count"": 248}]"
3669,2,ROLE_MAPPING_OK,1,0,,0.9726,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 1.78, ""counselor_sec"": 140.048, ""purity"": 0.9874, ""word_count"": 384}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 63.1017, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 160}]"
2961,2,ROLE_MAPPING_OK,1,0,,0.9557,0.9821,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 2.7, ""counselor_sec"": 133.2441, ""purity"": 0.9801, ""word_count"": 349}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 58.2799, ""counselor_sec"": 2.435, ""purity"": 0.9599, ""word_count"": 151}]"
1710,2,ROLE_MAPPING_OK,1,0,,0.9851,0.9872,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 3.02, ""counselor_sec"": 183.701, ""purity"": 0.9838, ""word_count"": 462}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 199.523, ""counselor_sec"": 2.391, ""purity"": 0.9882, ""word_count"": 516}]"
0278,2,MIXED_SPEAKER_COLLAPSE,,0,1,0.0,0.6557,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 4.72, ""counselor_sec"": 100.8999, ""purity"": 0.9553, ""word_count"": 257}, {""speaker"": 1, ""role"": ""MIXED"", ""child_sec"": 119.3468, ""counselor_sec"": 52.9709, ""purity"": 0.6926, ""word_count"": 413}]"
0514,3,ROLE_MAPPING_OK,"1,2",0,,0.9919,0.9791,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.72, ""counselor_sec"": 134.877, ""purity"": 0.9947, ""word_count"": 317}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 83.7098, ""counselor_sec"": 2.38, ""purity"": 0.9724, ""word_count"": 196}, {""speaker"": 2, ""role"": ""CHILD"", ""child_sec"": 4.0, ""counselor_sec"": 0.5, ""purity"": 0.8889, ""word_count"": 10}]"
0644,2,ROLE_MAPPING_OK,1,0,,0.9832,1.0,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.948, ""counselor_sec"": 112.326, ""purity"": 0.9916, ""word_count"": 308}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 55.3731, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 142}]"
2114,1,SINGLE_SPEAKER_COLLAPSE,,,0,0.0,0.0,"[{""speaker"": 0, ""role"": ""MIXED"", ""child_sec"": 85.3128, ""counselor_sec"": 153.7161, ""purity"": 0.6431, ""word_count"": 636}]"
3358,3,MIXED_SPEAKER_COLLAPSE,1,2,0,0.8904,0.7279,"[{""speaker"": 0, ""role"": ""MIXED"", ""child_sec"": 13.496, ""counselor_sec"": 34.8281, ""purity"": 0.7207, ""word_count"": 133}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 129.4029, ""counselor_sec"": 7.988, ""purity"": 0.9419, ""word_count"": 363}, {""speaker"": 2, ""role"": ""COUNSELOR"", ""child_sec"": 2.427, ""counselor_sec"": 114.5421, ""purity"": 0.9793, ""word_count"": 320}]"
0296,2,ROLE_MAPPING_OK,1,0,,0.9988,0.9956,"[{""speaker"": 0, ""role"": ""COUNSELOR"", ""child_sec"": 0.126, ""counselor_sec"": 113.3661, ""purity"": 0.9989, ""word_count"": 287}, {""speaker"": 1, ""role"": ""CHILD"", ""child_sec"": 104.229, ""counselor_sec"": 0.5, ""purity"": 0.9952, ""word_count"": 226}]"
