sample_id,deepgram_status,elevenlabs_status,deepgram_failure_type,elevenlabs_failure_type,overall_change,deepgram_child_coverage,elevenlabs_child_coverage,child_coverage_delta,deepgram_counselor_coverage,elevenlabs_counselor_coverage,counselor_coverage_delta,deepgram_speaker_count,elevenlabs_speaker_count,deepgram_child_speakers,elevenlabs_child_speakers,deepgram_mixed_speakers,elevenlabs_mixed_speakers
0119,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,1.0,1.0,0.0,0.995,0.9935,-0.0015,2,2,1,speaker_1,,
0128,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9588,1.0,0.0412,0.9702,1.0,0.0298,2,2,1,speaker_1,,
0278,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,MIXED_SPEAKER_COLLAPSE,SUCCESS,ELEVENLABS_RECOVERED,0.0,1.0,1.0,0.6557,1.0,0.3443,2,2,,speaker_1,1,
0296,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9988,1.0,0.0012,0.9956,1.0,0.0044,2,2,1,speaker_1,,
0514,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9919,1.0,0.0081,0.9791,1.0,0.0209,3,2,"1,2",speaker_1,,
0644,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9832,1.0,0.0168,1.0,1.0,0.0,2,2,1,speaker_1,,
1059,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9424,1.0,0.0576,0.9941,1.0,0.0059,2,2,1,speaker_1,,
1234,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9844,1.0,0.0156,0.9932,1.0,0.0068,2,2,1,speaker_1,,
1583,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9843,1.0,0.0157,0.9986,0.9775,-0.0211,3,2,"1,2",speaker_1,,
1710,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9851,1.0,0.0149,0.9872,1.0,0.0128,2,2,1,speaker_1,,
2114,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,SINGLE_SPEAKER_COLLAPSE,SUCCESS,ELEVENLABS_RECOVERED,0.0,0.9934,0.9934,0.0,0.9998,0.9998,1,2,,speaker_1,0,
2652,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9769,0.9999,0.023,0.9518,1.0,0.0482,2,2,1,speaker_1,,
2730,SINGLE_SPEAKER_COLLAPSE,SINGLE_SPEAKER_COLLAPSE,SINGLE_SPEAKER_COLLAPSE,SINGLE_SPEAKER_COLLAPSE,BOTH_FAILED,0.0,0.0,0.0,0.0,0.0,0.0,1,1,,,0,speaker_0
2915,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9867,1.0,0.0133,0.9689,1.0,0.0311,2,2,1,speaker_1,,
2961,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9557,1.0,0.0443,0.9821,1.0,0.0179,2,2,1,speaker_1,,
3140,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,MIXED_SPEAKER_COLLAPSE,SUCCESS,ELEVENLABS_RECOVERED,0.0099,1.0,0.9901,0.0,0.9891,0.9891,2,2,1,speaker_1,0,
3358,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,MIXED_SPEAKER_COLLAPSE,SUCCESS,ELEVENLABS_RECOVERED,0.8904,1.0,0.1096,0.7279,1.0,0.2721,3,2,1,speaker_1,0,
3669,ROLE_MAPPING_OK,ROLE_MAPPING_OK,SUCCESS,SUCCESS,BOTH_OK,0.9726,1.0,0.0274,1.0,1.0,0.0,2,2,1,speaker_1,,
