sample_id,deepgram_status,elevenlabs_status,comparison,deepgram_speaker_count,elevenlabs_speaker_count,deepgram_child_coverage,elevenlabs_child_coverage,deepgram_counselor_coverage,elevenlabs_counselor_coverage,deepgram_child_speakers,elevenlabs_child_speakers,deepgram_mixed_speakers,elevenlabs_mixed_speakers
0119,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,1.0,1.0,0.995,0.9935,1,speaker_1,,
0128,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9588,1.0,0.9702,1.0,1,speaker_1,,
0278,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,ELEVENLABS_IMPROVED,2,2,0.0,1.0,0.6557,1.0,,speaker_1,1,
0296,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9988,1.0,0.9956,1.0,1,speaker_1,,
0514,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,3,2,0.9919,1.0,0.9791,1.0,"1,2",speaker_1,,
0644,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9832,1.0,1.0,1.0,1,speaker_1,,
1059,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9424,1.0,0.9941,1.0,1,speaker_1,,
1234,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9844,1.0,0.9932,1.0,1,speaker_1,,
1583,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,3,2,0.9843,1.0,0.9986,0.9775,"1,2",speaker_1,,
1710,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9851,1.0,0.9872,1.0,1,speaker_1,,
2114,SINGLE_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,ELEVENLABS_IMPROVED,1,2,0.0,0.9934,0.0,0.9998,,speaker_1,0,
2652,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9769,0.9999,0.9518,1.0,1,speaker_1,,
2730,SINGLE_SPEAKER_COLLAPSE,SINGLE_SPEAKER_COLLAPSE,BOTH_FAILED,1,1,0.0,0.0,0.0,0.0,,,0,speaker_0
2915,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9867,1.0,0.9689,1.0,1,speaker_1,,
2961,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9557,1.0,0.9821,1.0,1,speaker_1,,
3140,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,ELEVENLABS_IMPROVED,2,2,0.0099,1.0,0.0,0.9891,1,speaker_1,0,
3358,MIXED_SPEAKER_COLLAPSE,ROLE_MAPPING_OK,ELEVENLABS_IMPROVED,3,2,0.8904,1.0,0.7279,1.0,1,speaker_1,0,
3669,ROLE_MAPPING_OK,ROLE_MAPPING_OK,BOTH_OK,2,2,0.9726,1.0,1.0,1.0,1,speaker_1,,
