sample_id,speaker_count,mapping_status,child_speaker_ids,counselor_speaker_ids,mixed_speaker_ids,child_coverage,counselor_coverage,speaker_mapping_json
0119,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,0.9935,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 98.705, ""purity"": 1.0, ""word_count"": 309}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 94.975, ""counselor_sec"": 0.642, ""purity"": 0.9933, ""word_count"": 289}]"
2915,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 88.163, ""purity"": 1.0, ""word_count"": 340}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 53.322, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 190}]"
2730,1,SINGLE_SPEAKER_COLLAPSE,,,speaker_0,0.0,0.0,"[{""speaker"": ""speaker_0"", ""role"": ""MIXED"", ""child_sec"": 52.119, ""counselor_sec"": 105.974, ""purity"": 0.6703, ""word_count"": 548}]"
2652,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,0.9999,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.01, ""counselor_sec"": 144.319, ""purity"": 0.9999, ""word_count"": 538}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 109.915, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 373}]"
1234,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 127.59, ""purity"": 1.0, ""word_count"": 450}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 81.61, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 243}]"
3669,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 106.777, ""purity"": 1.0, ""word_count"": 380}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 50.8, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 165}]"
2961,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 112.204, ""purity"": 1.0, ""word_count"": 346}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 62.309, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 159}]"
1710,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 168.532, ""purity"": 1.0, ""word_count"": 463}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 183.763, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 514}]"
0278,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 137.153, ""purity"": 1.0, ""word_count"": 369}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 109.806, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 300}]"
0514,2,ROLE_MAPPING_OK,speaker_1,speaker_0,,1.0,1.0,"[{""speaker"": ""speaker_0"", ""role"": ""COUNSELOR"", ""child_sec"": 0.0, ""counselor_sec"": 111.283, ""purity"": 1.0, ""word_count"": 321}, {""speaker"": ""speaker_1"", ""role"": ""CHILD"", ""child_sec"": 81.067, ""counselor_sec"": 0.0, ""purity"": 1.0, ""word_count"": 200}]"
