sample_id,status,speaker_count,speaker_ids,word_count,audio_duration_secs,language_code,language_probability,elapsed_seconds,error
0119,SKIPPED_EXISTING,2,"speaker_0,speaker_1",598,385.2930625,kor,1.0,,
2915,SKIPPED_EXISTING,2,"speaker_0,speaker_1",530,370.222,kor,1.0,,
2730,SKIPPED_EXISTING,1,speaker_0,548,534.0033125,kor,1.0,,
2652,SKIPPED_EXISTING,2,"speaker_0,speaker_1",911,695.6899375,kor,1.0,,
1234,SKIPPED_EXISTING,2,"speaker_0,speaker_1",693,499.409,kor,1.0,,
3669,SKIPPED_EXISTING,2,"speaker_0,speaker_1",545,517.48175,kor,1.0,,
2961,SKIPPED_EXISTING,2,"speaker_0,speaker_1",505,523.8795625,kor,1.0,,
1710,SKIPPED_EXISTING,2,"speaker_0,speaker_1",977,837.3833125,kor,1.0,,
0278,SKIPPED_EXISTING,2,"speaker_0,speaker_1",669,548.4406875,kor,1.0,,
0514,SKIPPED_EXISTING,2,"speaker_0,speaker_1",521,530.707625,kor,1.0,,
0644,SKIPPED_EXISTING,2,"speaker_0,speaker_1",439,507.9040625,kor,1.0,,
2114,SKIPPED_EXISTING,2,"speaker_0,speaker_1",632,861.6486875,kor,1.0,,
3358,SKIPPED_EXISTING,2,"speaker_0,speaker_1",842,599.880875,kor,1.0,,
0296,SKIPPED_EXISTING,2,"speaker_0,speaker_1",520,625.99275,kor,1.0,,
1059,SKIPPED_EXISTING,2,"speaker_0,speaker_1",527,387.6571875,kor,1.0,,
1583,SKIPPED_EXISTING,2,"speaker_0,speaker_1",941,1145.8945,kor,1.0,,
0128,SKIPPED_EXISTING,2,"speaker_0,speaker_1",507,450.368125,kor,1.0,,
1062,SUCCESS,2,"speaker_0,speaker_1",770,539.45475,kor,1.0,10.43,
1295,SUCCESS,2,"speaker_0,speaker_1",483,584.228625,kor,1.0,9.06,
1850,SUCCESS,2,"speaker_0,speaker_1",654,722.92525,kor,1.0,11.01,
1963,SUCCESS,2,"speaker_0,speaker_1",550,416.078375,kor,1.0,9.06,
2610,SUCCESS,2,"speaker_0,speaker_1",827,738.814,kor,1.0,10.77,
1159,SUCCESS,2,"speaker_0,speaker_1",660,927.6081875,kor,1.0,9.62,
1166,SUCCESS,2,"speaker_0,speaker_1",558,801.907,kor,1.0,9.38,
3447,SUCCESS,2,"speaker_0,speaker_1",716,537.170875,kor,1.0,10.43,
3807,SUCCESS,2,"speaker_0,speaker_1",645,575.225375,kor,1.0,8.59,
1225,SUCCESS,2,"speaker_0,speaker_1",571,826.4620625,kor,1.0,9.58,
5050,SUCCESS,2,"speaker_0,speaker_1",595,402.091625,kor,1.0,10.04,
3570,SUCCESS,2,"speaker_0,speaker_1",506,358.6204375,kor,1.0,9.74,
0447,SUCCESS,2,"speaker_0,speaker_1",528,612.07725,kor,1.0,7.83,
0607,SUCCESS,2,"speaker_0,speaker_1",594,492.5636875,kor,1.0,8.85,
3859,SUCCESS,2,"speaker_0,speaker_1",720,418.896125,kor,1.0,17.97,
2903,SUCCESS,2,"speaker_0,speaker_1",536,376.687875,kor,1.0,10.39,
0633,SUCCESS,2,"speaker_0,speaker_1",505,800.948625,kor,1.0,8.99,
3726,SUCCESS,2,"speaker_0,speaker_1",865,517.8775625,kor,1.0,11.0,
2182,SUCCESS,2,"speaker_0,speaker_1",642,474.6971875,kor,1.0,13.63,
3920,SUCCESS,2,"speaker_0,speaker_1",643,375.89675,kor,1.0,13.95,
2717,SUCCESS,2,"speaker_0,speaker_1",760,788.2870625,kor,1.0,9.89,
3181,SUCCESS,2,"speaker_0,speaker_1",635,462.0626875,kor,1.0,11.43,
1239,SUCCESS,2,"speaker_0,speaker_1",824,759.9281875,kor,1.0,8.68,
2531,SUCCESS,2,"speaker_0,speaker_1",653,635.5683125,kor,1.0,10.27,
5036,SUCCESS,2,"speaker_0,speaker_1",583,529.252125,kor,1.0,9.64,
3391,SUCCESS,2,"speaker_0,speaker_1",981,1293.06125,kor,1.0,9.5,
0903,SUCCESS,2,"speaker_0,speaker_1",498,463.960875,kor,1.0,10.42,
3873,SUCCESS,2,"speaker_0,speaker_1",795,593.5043125,kor,1.0,9.31,
3104,SUCCESS,2,"speaker_0,speaker_1",671,495.3840625,kor,1.0,10.08,
0042,SUCCESS,2,"speaker_0,speaker_1",649,533.217625,kor,1.0,9.2,
0159,SUCCESS,2,"speaker_0,speaker_1",529,486.0041875,kor,1.0,7.99,
0882,SUCCESS,2,"speaker_0,speaker_1",600,804.049,kor,1.0,8.56,
3693,SUCCESS,2,"speaker_0,speaker_1",515,313.2604375,kor,1.0,9.81,
0741,SUCCESS,2,"speaker_0,speaker_1",480,489.5158125,kor,1.0,7.14,
5064,SUCCESS,2,"speaker_0,speaker_1",764,747.9055625,kor,1.0,10.21,
2796,SUCCESS,2,"speaker_0,speaker_1",636,491.8276875,kor,1.0,10.41,
0384,SUCCESS,2,"speaker_0,speaker_1",439,318.2086875,kor,1.0,10.24,
0857,SUCCESS,2,"speaker_0,speaker_1",425,643.5004375,kor,1.0,7.3,
1761,SUCCESS,2,"speaker_0,speaker_1",635,517.407375,kor,1.0,8.78,
