sample_id,duration_seconds,duration_hms
0002,361.848,00:06:02
0004,424.542,00:07:05
0005,556.314,00:09:16
0006,729.469,00:12:09
0007,503.144,00:08:23
0009,1035.598,00:17:16
0012,420.78,00:07:01
0013,411.768,00:06:52
0015,607.869,00:10:08
0016,350.459,00:05:50
0017,702.015,00:11:42
0018,381.727,00:06:22
0023,482.821,00:08:03
0024,483.318,00:08:03
0025,566.413,00:09:26
0026,523.624,00:08:44
0028,312.581,00:05:13
0029,401.267,00:06:41
0030,357.642,00:05:58
0031,242.416,00:04:02
0032,319.53,00:05:20
0033,324.18,00:05:24
0034,316.5,00:05:16
0035,668.604,00:11:09
0037,575.739,00:09:36
0038,508.839,00:08:29
0039,541.623,00:09:02
0041,298.501,00:04:59
0042,533.29,00:08:53
0043,365.584,00:06:06
0044,488.829,00:08:09
0045,366.028,00:06:06
0046,321.829,00:05:22
0047,348.134,00:05:48
0049,396.408,00:06:36
0050,399.073,00:06:39
0055,495.099,00:08:15
0056,402.913,00:06:43
0057,431.36,00:07:11
0058,409.94,00:06:50
0059,380.421,00:06:20
0062,405.786,00:06:46
0063,333.192,00:05:33
0065,287.765,00:04:48
0066,335.621,00:05:36
0067,477.153,00:07:57
0069,551.184,00:09:11
0072,485.355,00:08:05
0073,623.229,00:10:23
0074,737.071,00:12:17
0075,668.421,00:11:08
0076,598.387,00:09:58
0077,495.882,00:08:16
0078,467.853,00:07:48
0082,944.771,00:15:45
0084,677.851,00:11:18
0086,550.034,00:09:10
0087,498.704,00:08:19
0088,633.339,00:10:33
0089,461.113,00:07:41
0090,538.07,00:08:58
0091,546.717,00:09:07
0092,400.118,00:06:40
0093,548.389,00:09:08
0094,589.322,00:09:49
0097,462.916,00:07:43
0098,552.281,00:09:12
0099,919.144,00:15:19
0100,532.532,00:08:53
0102,771.579,00:12:52
0103,471.484,00:07:51
0104,496.065,00:08:16
0105,465.215,00:07:45
0107,777.509,00:12:58
0108,591.83,00:09:52
0112,1287.393,00:21:27
0114,1132.199,00:18:52
0115,493.296,00:08:13
0116,829.727,00:13:50
0118,346.305,00:05:46
0119,385.358,00:06:25
0121,570.384,00:09:30
0122,946.573,00:15:47
0124,818.651,00:13:39
0126,314.436,00:05:14
0128,450.429,00:07:30
0129,767.687,00:12:48
0130,550.452,00:09:10
0132,421.982,00:07:02
0133,635.063,00:10:35
0136,541.78,00:09:02
0137,931.265,00:15:31
0139,522.449,00:08:42
0140,366.158,00:06:06
0142,447.321,00:07:27
0143,391.079,00:06:31
0145,523.05,00:08:43
0149,936.464,00:15:36
0150,697.313,00:11:37
0151,771.291,00:12:51
0152,306.547,00:05:07
0153,290.743,00:04:51
0154,384.183,00:06:24
0155,780.304,00:13:00
0156,525.061,00:08:45
0157,377.469,00:06:17
0158,639.765,00:10:40
0159,486.06,00:08:06
0160,437.42,00:07:17
0163,609.802,00:10:10
0164,568.137,00:09:28
0165,602.567,00:10:03
0166,542.38,00:09:02
0168,419.03,00:06:59
0171,427.807,00:07:08
0173,436.767,00:07:17
0176,777.744,00:12:58
0177,1240.189,00:20:40
0180,820.454,00:13:40
0181,364.251,00:06:04
0182,339.096,00:05:39
0184,563.696,00:09:24
0185,397.793,00:06:38
0186,319.086,00:05:19
0188,636.16,00:10:36
0189,508.604,00:08:29
0191,625.763,00:10:26
0192,673.75,00:11:14
0194,618.109,00:10:18
0195,481.855,00:08:02
0196,570.149,00:09:30
0197,697.809,00:11:38
0199,410.305,00:06:50
0201,482.873,00:08:03
0202,476.918,00:07:57
0203,488.15,00:08:08
0212,932.467,00:15:32
0213,835.605,00:13:56
0214,821.682,00:13:42
