file,label,gt_probability,stt_probability,difference,gt_detected,stt_detected,same_detection
0002,신체학대,0.998695,0.998392,-0.000303,True,True,True
0002,정서학대,0.994888,0.997158,0.00227,True,True,True
0002,성학대,0.007659,0.007919,0.00026,False,False,True
0002,방임,0.006531,0.008221,0.001689,False,False,True
0004,신체학대,0.998528,0.998852,0.000324,True,True,True
0004,정서학대,0.998443,0.998933,0.00049,True,True,True
0004,성학대,0.01228,0.012901,0.000621,False,False,True
0004,방임,0.99712,0.994659,-0.002461,True,True,True
0005,신체학대,0.001716,0.001369,-0.000347,False,False,True
0005,정서학대,0.000765,0.000953,0.000188,False,False,True
0005,성학대,0.000783,0.000784,2e-06,False,False,True
0005,방임,0.001364,0.001172,-0.000192,False,False,True
0006,신체학대,0.999206,0.999266,6e-05,True,True,True
0006,정서학대,0.996514,0.996364,-0.00015,True,True,True
0006,성학대,0.014731,0.015111,0.00038,False,False,True
0006,방임,0.997245,0.997134,-0.000111,True,True,True
0018,신체학대,0.00523,0.005791,0.00056,False,False,True
0018,정서학대,0.983367,0.989581,0.006213,True,True,True
0018,성학대,0.001601,0.001857,0.000255,False,False,True
0018,방임,0.001386,0.001865,0.00048,False,False,True
0184,신체학대,0.00154,0.002607,0.001066,False,False,True
0184,정서학대,0.001094,0.000905,-0.000189,False,False,True
0184,성학대,0.000727,0.000536,-0.000191,False,False,True
0184,방임,0.001015,0.001433,0.000418,False,False,True
0216,신체학대,0.001359,0.000907,-0.000452,False,False,True
0216,정서학대,0.000785,0.000495,-0.00029,False,False,True
0216,성학대,0.992128,0.794765,-0.197363,True,True,True
0216,방임,0.009193,0.003318,-0.005875,False,False,True
0379,신체학대,0.007023,0.002586,-0.004437,False,False,True
0379,정서학대,0.007663,0.002661,-0.005002,False,False,True
0379,성학대,0.998756,0.997513,-0.001243,True,True,True
0379,방임,0.003622,0.005837,0.002215,False,False,True
1112,신체학대,0.007598,0.004743,-0.002854,False,False,True
1112,정서학대,0.001567,0.000866,-0.000702,False,False,True
1112,성학대,0.951955,0.882791,-0.069163,True,True,True
1112,방임,0.996268,0.992253,-0.004015,True,True,True
1136,신체학대,0.002796,0.007417,0.004621,False,False,True
1136,정서학대,0.981735,0.995184,0.013449,True,True,True
1136,성학대,0.002376,0.002601,0.000225,False,False,True
1136,방임,0.001701,0.002936,0.001236,False,False,True
1354,신체학대,0.001585,0.001073,-0.000511,False,False,True
1354,정서학대,0.001294,0.00089,-0.000403,False,False,True
1354,성학대,0.991212,0.001106,-0.990106,True,False,False
1354,방임,0.003291,0.001129,-0.002162,False,False,True
2076,신체학대,0.998104,0.998527,0.000422,True,True,True
2076,정서학대,0.9957,0.997603,0.001902,True,True,True
2076,성학대,0.014281,0.008756,-0.005524,False,False,True
2076,방임,0.003502,0.011661,0.008159,False,False,True
2560,신체학대,0.004017,0.004075,5.8e-05,False,False,True
2560,정서학대,0.99268,0.992642,-3.8e-05,True,True,True
2560,성학대,0.007584,0.006351,-0.001234,False,False,True
2560,방임,0.001585,0.001686,0.000102,False,False,True
2637,신체학대,0.001101,0.00122,0.000118,False,False,True
2637,정서학대,0.001166,0.001188,2.2e-05,False,False,True
2637,성학대,0.000784,0.000734,-5e-05,False,False,True
2637,방임,0.001105,0.001079,-2.6e-05,False,False,True
2674,신체학대,0.003748,0.002239,-0.00151,False,False,True
2674,정서학대,0.000923,0.001986,0.001063,False,False,True
2674,성학대,0.000471,0.000426,-4.5e-05,False,False,True
2674,방임,0.002718,0.001942,-0.000776,False,False,True
2677,신체학대,0.004358,0.005095,0.000737,False,False,True
2677,정서학대,0.995921,0.99509,-0.000831,True,True,True
2677,성학대,0.006177,0.008895,0.002718,False,False,True
2677,방임,0.003459,0.001945,-0.001514,False,False,True
3242,신체학대,0.993354,0.994681,0.001327,True,True,True
3242,정서학대,0.004234,0.007172,0.002938,False,False,True
3242,성학대,0.009738,0.009023,-0.000715,False,False,True
3242,방임,0.014644,0.009239,-0.005405,False,False,True
3316,신체학대,0.002502,0.002388,-0.000114,False,False,True
3316,정서학대,0.00149,0.001665,0.000175,False,False,True
3316,성학대,0.002037,0.001892,-0.000145,False,False,True
3316,방임,0.94508,0.947222,0.002142,True,True,True
