file,speaker,role,mapping_confidence,q_overlap_ms,a_overlap_ms,turn_count,word_count,pause_count,mean_pause_ms,max_pause_ms,total_pause_ms,response_count,mean_response_latency_ms,min_response_latency_ms,max_response_latency_ms,char_count,speaking_duration_ms,words_per_second,chars_per_second,pitch_mean_hz,pitch_median_hz,pitch_std_hz,pitch_min_hz,pitch_max_hz,pitch_voiced_frame_count,energy_mean,energy_median,energy_std,energy_min,energy_max,energy_frame_count
0002,SPEAKER_0,Q,0.9536,82962,4035,35,191,6,540.33,1300,3242,34,2255.15,1834,3259,542,84840,2.251,6.388,249.37,246.94,55.33,65.41,380.84,2910,0.05678,0.050218,0.040339,1e-06,0.265381,3779
0002,SPEAKER_1,A,0.9688,3725,115581,39,220,34,525.76,1060,17876,35,1815.66,340,3180,623,118199,1.861,5.271,152.68,146.83,35.76,70.1,378.64,3628,0.103762,0.096304,0.077213,0.0,0.350084,5150
0004,SPEAKER_0,Q,0.9968,124364,400,43,252,36,456.61,940,16438,40,2577.95,460,4124,697,126301,1.995,5.519,120.09,115.87,26.39,65.41,206.46,3578,0.083276,0.075952,0.059222,0.0,0.335684,5496
0004,SPEAKER_1,A,1.0,0,93182,42,204,12,521.17,860,6254,41,2269.22,560,3900,566,93138,2.19,6.077,273.02,266.2,63.34,65.79,440.0,3015,0.04007,0.032751,0.033333,0.0,0.226907,4043
0005,SPEAKER_0,Q,0.9759,161117,3981,56,396,16,415.12,745,6642,49,2224.61,300,3819,1110,166365,2.38,6.672,248.05,238.53,61.66,65.41,496.74,11844,0.064948,0.059794,0.043454,0.0,0.343016,14393
0005,SPEAKER_1,A,1.0,0,121416,50,257,27,513.15,1180,13855,49,2150.04,1180,2940,766,122034,2.106,6.277,298.29,286.96,75.99,79.14,580.58,8105,0.062171,0.054822,0.047728,0.0,0.319332,10570
0005,SPEAKER_2,UNKNOWN,0.5526,7978,6460,6,30,2,420.5,541,841,4,1780.0,300,2540,87,13399,2.239,6.493,283.64,278.79,75.48,65.41,538.58,958,0.06547,0.060266,0.046612,0.0,0.232996,1251
0006,SPEAKER_0,Q,0.9863,159135,2208,74,430,30,468.8,1500,14064,61,2577.3,300,3995,1207,196757,2.185,6.134,244.43,244.11,54.16,65.41,389.74,7411,0.118219,0.113881,0.066521,0.0,0.340042,8604
0006,SPEAKER_1,A,0.8017,24665,99728,83,295,20,515.65,1340,10313,62,2407.71,655,4540,800,131112,2.25,6.102,269.18,263.14,55.07,65.41,479.82,4714,0.072784,0.063354,0.056528,0.0,0.282906,5793
0018,SPEAKER_0,Q,0.9841,139137,2245,48,301,37,503.27,2100,18621,47,1263.4,619,2060,771,146192,2.059,5.274,261.93,260.12,48.11,157.37,422.56,5484,0.136799,0.134264,0.079121,0.0,0.380684,6314
0018,SPEAKER_1,A,1.0,0,118256,48,230,38,497.95,1020,18922,48,1162.83,0,1979,644,119523,1.924,5.388,309.1,307.55,61.12,67.71,523.25,4407,0.117097,0.111212,0.074614,0.0,0.397939,5149
