file,gt_count,stt_count,no_match,suspicious_gt,speaker2_count,qa_merge_count,gt_chars_space,edit_errors_space,cer_space,gt_chars_no_space,edit_errors_no_space,cer_no_space,data_quality,uncovered_segments,longest_uncovered_ms,longest_uncovered_chars
0002,74,74,0,21,0,1,1607,26,1.62,1189,19,1.6,OK,0,0,0
0004,82,85,0,22,0,0,1730,32,1.85,1279,20,1.56,OK,2,500,5
0005,112,112,3,17,6,0,2713,73,2.69,2020,49,2.43,OK,0,0,0
0006,138,158,3,53,0,0,2444,476,19.48,1806,350,19.38,GT_INCOMPLETE,22,99250,284
0018,98,96,0,6,0,1,1961,52,2.65,1437,34,2.37,OK,0,0,0
0184,120,115,6,16,0,1,2503,78,3.12,1822,55,3.02,OK,2,5861,24
0216,86,79,3,19,0,4,1749,66,3.77,1292,49,3.79,OK,0,0,0
0379,122,121,5,18,0,1,2715,132,4.86,1997,101,5.06,OK,0,0,0
1112,128,127,5,60,1,0,3215,100,3.11,2387,70,2.93,OK,1,500,4
1136,102,102,0,11,0,1,2234,76,3.4,1632,59,3.62,OK,1,500,3
1354,114,95,12,36,0,7,2016,294,14.58,1477,238,16.11,OK,0,0,0
1786,118,104,5,36,0,9,2547,63,2.47,1881,49,2.6,OK,1,500,2
2076,118,106,4,34,1,8,2711,79,2.91,2014,56,2.78,OK,0,0,0
2315,106,100,5,43,0,1,2033,48,2.36,1516,39,2.57,OK,0,0,0
2560,112,112,2,12,0,0,2200,43,1.95,1619,31,1.91,OK,2,500,2
2637,106,107,0,10,0,0,2534,80,3.16,1846,67,3.63,OK,0,0,0
2674,110,111,0,17,0,0,2856,57,2.0,2131,40,1.88,OK,0,0,0
2677,110,108,1,20,0,1,2567,59,2.3,1881,41,2.18,OK,0,0,0
3242,116,119,2,13,0,0,3239,88,2.72,2431,55,2.26,OK,2,500,6
3316,98,97,1,18,0,0,1902,47,2.47,1408,33,2.34,OK,0,0,0
3696,108,106,2,24,0,1,2370,47,1.98,1762,36,2.04,OK,0,0,0
3706,114,109,6,4,0,2,2833,151,5.33,2095,108,5.16,OK,1,500,2
3731,122,109,1,28,0,10,3096,36,1.16,2262,23,1.02,OK,0,0,0
3821,110,111,0,14,0,1,3047,49,1.61,2271,41,1.81,OK,2,500,5
3891,114,114,1,22,0,0,3029,76,2.51,2240,62,2.77,OK,1,500,4
5036,116,112,3,23,0,3,2204,75,3.4,1617,47,2.91,OK,2,501,3
5058,118,108,1,30,0,5,2541,34,1.34,1867,26,1.39,OK,0,0,0
5069,112,110,1,30,0,3,2536,69,2.72,1865,53,2.84,OK,2,980,6
5113,120,120,1,29,0,1,2703,100,3.7,1990,76,3.82,OK,2,500,4
5194,130,127,5,51,0,1,2612,61,2.34,1934,49,2.53,OK,3,980,6
