file,speaker,role,q_overlap_ms,a_overlap_ms,confidence
0002,SPEAKER_0,Q,82962,4035,0.9536
0002,SPEAKER_1,A,3725,115581,0.9688
0004,SPEAKER_0,Q,124364,400,0.9968
0004,SPEAKER_1,A,0,93021,1.0
0005,SPEAKER_0,Q,161117,2782,0.983
0005,SPEAKER_1,A,0,122456,1.0
0005,SPEAKER_2,UNKNOWN,7978,6460,0.5526
0006,SPEAKER_0,Q,160035,2208,0.9864
0006,SPEAKER_1,A,23205,100430,0.8123
0018,SPEAKER_0,Q,139297,2245,0.9841
0018,SPEAKER_1,A,0,118176,1.0
0184,SPEAKER_0,Q,138901,2820,0.9801
0184,SPEAKER_1,A,15164,132473,0.8973
0216,SPEAKER_0,Q,128911,18009,0.8774
0216,SPEAKER_1,A,501,60512,0.9918
0379,SPEAKER_0,Q,192532,12200,0.9404
0379,SPEAKER_1,A,0,139064,1.0
1112,SPEAKER_0,Q,226373,1087,0.9952
1112,SPEAKER_1,A,1700,184792,0.9909
1112,SPEAKER_2,Q,2041,411,0.8324
1136,SPEAKER_0,Q,150693,4669,0.9699
1136,SPEAKER_1,A,0,102628,1.0
1354,SPEAKER_0,Q,142172,7644,0.949
1354,SPEAKER_1,A,1640,50307,0.9684
1786,SPEAKER_0,UNKNOWN,157955,103899,0.6032
2076,SPEAKER_0,Q,163792,35362,0.8224
2076,SPEAKER_1,A,3458,74048,0.9554
2076,SPEAKER_2,A,0,501,1.0
2315,SPEAKER_0,UNKNOWN,135901,65027,0.6764
2560,SPEAKER_0,Q,139008,2841,0.98
2560,SPEAKER_1,A,0,87787,1.0
2637,SPEAKER_0,Q,176004,0,1.0
2637,SPEAKER_1,A,580,136239,0.9958
2674,SPEAKER_0,Q,178412,1060,0.9941
2674,SPEAKER_1,A,4733,160254,0.9713
2677,SPEAKER_0,Q,162214,1343,0.9918
2677,SPEAKER_1,A,12301,129840,0.9135
3242,SPEAKER_0,Q,166456,0,1.0
3242,SPEAKER_1,A,26400,200928,0.8839
3316,SPEAKER_0,Q,122148,0,1.0
3316,SPEAKER_1,A,0,61467,1.0
3696,SPEAKER_0,Q,139043,4961,0.9655
3696,SPEAKER_1,A,7500,95628,0.9273
3706,SPEAKER_0,UNKNOWN,163753,52631,0.7568
3706,SPEAKER_1,A,0,70238,1.0
3731,SPEAKER_0,Q,171732,32064,0.8427
3731,SPEAKER_1,A,296,139185,0.9979
3821,SPEAKER_0,Q,169294,3141,0.9818
3821,SPEAKER_1,A,172,172072,0.999
3891,SPEAKER_0,Q,168169,2071,0.9878
3891,SPEAKER_1,A,1860,140948,0.987
5036,SPEAKER_0,Q,186420,19236,0.9065
5036,SPEAKER_1,A,0,60685,1.0
5058,SPEAKER_0,Q,144557,11108,0.9286
5058,SPEAKER_1,A,0,112986,1.0
5069,SPEAKER_0,Q,141377,10435,0.9313
5069,SPEAKER_1,A,9838,113653,0.9203
5113,SPEAKER_0,UNKNOWN,158240,119503,0.5697
5194,SPEAKER_0,UNKNOWN,160959,112531,0.5885
